Disease,Medication
Hepatitis B,"['Entecavir: 0.5 mg orally once daily', 'Tenofovir Disoproxil Fumarate: 300 mg orally once daily', 'Peginterferon Alfa-2a: 180 mcg subcutaneously once weekly for 48 week', 'Lamivudine: 100 mg orally once daily', 'Adefovir Dipivoxil: 10 mg orally once daily']"
Hepatitis C,"['Ribavirin: 1,000-1,200 mg orally daily in divided doses for 12 weeks (in combination with other antivirals)', 'Daclatasvir: 60 mg orally once daily for 12 weeks (in combination with sofosbuvir)', 'Sofosbuvir-Velpatasvir: 400 mg/100 mg orally once daily for 12 weeks', 'Glecaprevir-Pibrentasvir: 300 mg/120 mg orally once daily for 8 weeks', 'Sofosbuvir-Ledipasvir: 400 mg/90 mg orally once daily for 12 weeks']"
Hepatitis D,"['Peginterferon Alfa-2a: 180 mcg subcutaneously once weekly for 48 weeks', 'Peginterferon Alfa-2b: 1.5 mcg/kg subcutaneously once weekly for 48 week', 'Tenofovir Disoproxil Fumarate: 300 mg orally once daily', 'Entecavir: 0.5 mg orally once daily', 'Lamivudine: 100 mg orally once daily']"
Hepatitis E,"['Supportive Care: Rest and hydration; no specific antiviral treatment', 'Ribavirin: 600-1,200 mg orally daily in divided doses for 3 months (for chronic cases)', 'Paracetamol (Acetaminophen): 500-1,000 mg orally every 6 hours as needed for pain or fever; maximum 4,000 mg/day
', 'Ondansetron: 4-8 mg orally every 8 hours as needed for nausea', 'Vitamin B Complex: One tablet orally daily']"
Alcoholic hepatitis,"['Prednisolone: 40 mg orally once daily for 4 weeks, followed by tapering', 'Pentoxifylline: 400 mg orally three times daily', 'Vitamin B Complex: One tablet orally daily', 'Thiamine (Vitamin B1): 100 mg orally once daily', 'Folic Acid: 1 mg orally once daily']"
Tuberculosis,"['Isoniazid: 5 mg/kg (maximum 300 mg) orally once daily', 'Rifampicin: 10 mg/kg (maximum 600 mg) orally once daily', 'Pyrazinamide: 15-30 mg/kg (maximum 2,000 mg) orally once daily', 'Ethambutol: 15-25 mg/kg (maximum 1,600 mg) orally once daily', 'Streptomycin: 15 mg/kg (maximum 1 g) intramuscularly once daily']"
Common Cold,"['Paracetamol (Acetaminophen): 500-1,000 mg orally every 6 hours as needed; maximum 4,000 mg/day', 'Ibuprofen: 200-400 mg orally every 6-8 hours as needed; maximum 1,200 mg/day', 'Pseudoephedrine: 60 mg orally every 4-6 hours as needed; maximum 240 mg/day', 'Diphenhydramine: 25-50 mg orally every 6-8 hours as needed', 'Guaifenesin: 200-400 mg orally every 4 hours as needed; maximum 2,400 mg/day']"
Pneumonia,"['Amoxicillin: 500 mg orally every 8 hours or 875 mg every 12 hours for 7-10 da', 'Azithromycin: 500 mg orally on day 1, then 250 mg once daily on days 2-5', 'Doxycycline: 100 mg orally twice daily for 7-10 days', 'Levofloxacin: 750 mg orally once daily for 5 days', 'Ceftriaxone: 1-2 g intravenously once daily']"
Dimorphic hemmorhoids(piles),"['Diosmin: 500 mg orally twice daily', 'Lidocaine (Lignocaine) Gel: Apply topically as needed for pain relief', 'Hydrocortisone Cream: Apply topically 2-3 times daily', 'Witch Hazel Pads: Apply topically after bowel movements', 'Psyllium Husk: 3.4 g orally once daily with water']"
Heart attack,"['Aspirin: 160-325 mg orally once, then 75-100 mg once daily', 'Clopidogrel: 300-600 mg orally once, then 75 mg once daily', 'Metoprolol: 25-50 mg orally every 6-12 hours as needed; maximum 200 mg/day', 'Atorvastatin: 80 mg orally once daily', 'Nitroglycerin: 0.3-0.6 mg sublingually every 5 minutes as needed; maximum 3 doses in 15 minutes']"
Varicose veins,"['Diosmin: 500 mg orally twice daily', 'Horse Chestnut Seed Extract: 300 mg orally twice daily', 'Rutosides: 500 mg orally twice daily', 'Pentoxifylline: 400 mg orally three times daily', 'Compression Stockings: Worn daily as recommended']"
Hypothyroidism,"['Levothyroxine: 1.6 mcg/kg orally once daily; adjust based on TSH levels', 'Liothyronine: 25 mcg orally once daily; adjust as needed', 'Desiccated Thyroid Extract: 30 mg orally once daily; adjust as needed', 'Selenium: 200 mcg orally once daily', 'Vitamin D3: 1,000-2,000 IU orally once daily']"
Hyperthyroidism,"['Methimazole: 15-30 mg orally once daily', 'Propylthiouracil (PTU): 100-150 mg orally three times daily', 'Propranolol: 10-40 mg orally every 6 hours as needed', 'Potassium Iodide: 50 mg orally three times daily', 'Radioactive Iodine (I-131): Dose based on individual assessment']"
Hypoglycemia,"['Glucose Tablets: 15-20 grams orally as needed', 'Dextrose Gel: 15 grams orally as needed', 'Glucagon Injection: 1 mg intramuscularly or subcutaneously as needed', 'Octreotide: 50-100 mcg subcutaneously every 6-12 hours as needed', 'Diazoxide: 3-8 mg/kg/day orally in divided doses']"
Osteoarthristis,"['Paracetamol (Acetaminophen): 500-1,000 mg orally every 6 hours as needed; maximum 4,000 mg/day', 'Ibuprofen: 200-400 mg orally every 6-8 hours as needed; maximum 1,200 mg/day', 'Naproxen: 250-500 mg orally every 12 hours as needed; maximum 1,000 mg/day', 'Diclofenac: 50 mg orally every 8 hours as needed; maximum 150 mg/day', 'Glucosamine Sulfate: 1,500 mg orally once daily']"
Arthritis,"['Methotrexate: 7.5-25 mg orally once weekly', 'Sulfasalazine: 500 mg orally twice daily; may increase to 1,000 mg twice daily', 'Hydroxychloroquine: 200-400 mg orally once daily', 'Leflunomide: 100 mg orally once daily for 3 days, then 20 mg once daily', 'Etanercept: 50 mg subcutaneously once weekly']"
(vertigo) Paroymsal Positional Vertigo,"['Betahistine: 16 mg orally three times daily', 'Meclizine: 25-50 mg orally every 6 hours as needed', 'Diazepam: 2-5 mg orally every 8 hours as needed', 'Prochlorperazine: 5-10 mg orally every 6-8 hours as needed', 'Epley Maneuver: Performed as needed under guidance']"
Acne,"['Benzoyl Peroxide: Apply topically once daily', 'Clindamycin Topical: Apply twice daily', 'Tretinoin Cream: Apply once daily at bedtime', 'Doxycycline: 100 mg orally twice daily', 'Isotretinoin: 0.5-1 mg/day orally in divided doses']"
Urinary tract infection,"['Nitrofurantoin: 100 mg orally twice daily for 5 days', 'Trimethoprim/Sulfamethoxazole: 160/800 mg (one double-strength tablet) orally twice daily for 3 days.', 'Fosfomycin: 3 g orally as a single dose', 'Ciprofloxacin: 500 mg orally twice daily for 7 days (typically reserved for complicated cases)', 'Cephalexin: 500 mg orally every 12 hours for 7 days.']"
Psoriasis,"['Methotrexate: 7.5-25 mg orally once weekly', 'Cyclosporine: 2.5-5 mg/kg/day orally in divided doses.', 'Apremilast: 30 mg orally twice daily', 'Adalimumab: 80 mg subcutaneously initially, followed by 40 mg every other week', 'Etanercept: 50 mg subcutaneously twice weekly for 12 weeks, then 50 mg once weekly']"
Impetigo,"['Mupirocin Ointment: Apply topically three times daily for 5 days.', 'Retapamulin Ointment: Apply topically twice daily for 5 days.', 'Cephalexin: 500 mg orally every 6 hours for 7 days.', 'Dicloxacillin: 500 mg orally every 6 hours for 7 days', 'Clindamycin: 300 mg orally every 6 hours for 7 days']"
