Disease,Medication
Hepatitis B,"['Entecavir: 0.5 mg orally once daily', 'Tenofovir Disoproxil Fumarate: 300 mg orally once daily', 'Peginterferon Alfa-2a: 180 mcg subcutaneously once weekly for 48 week', 'Lamivudine: 100 mg orally once daily', 'Adefovir Dipivoxil: 10 mg orally once daily']"
Hepatitis C,"['Ribavirin: 1,000-1,200 mg orally daily in divided doses for 12 weeks (in combination with other antivirals)', 'Daclatasvir: 60 mg orally once daily for 12 weeks (in combination with sofosbuvir)', 'Sofosbuvir-Velpatasvir: 400 mg/100 mg orally once daily for 12 weeks', 'Glecaprevir-Pibrentasvir: 300 mg/120 mg orally once daily for 8 weeks', 'Sofosbuvir-Ledipasvir: 400 mg/90 mg orally once daily for 12 weeks']"
Hepatitis D,"['Peginterferon Alfa-2a: 180 mcg subcutaneously once weekly for 48 weeks', 'Peginterferon Alfa-2b: 1.5 mcg/kg subcutaneously once weekly for 48 week', 'Tenofovir Disoproxil Fumarate: 300 mg orally once daily', 'Entecavir: 0.5 mg orally once daily', 'Lamivudine: 100 mg orally once daily']"
Hepatitis E,"['Supportive Care: Rest and hydration; no specific antiviral treatment', 'Ribavirin: 600 mg orally daily in divided doses for 3 months (for chronic cases)', 'Paracetamol (Acetaminophen): 500 mg orally every 6 hours as needed for pain or fever; maximum 3,000 mg/day', 'Ondansetron: 4 mg orally every 12 hours as needed for nausea', 'Vitamin B Complex: One tablet orally once daily']"
Alcoholic hepatitis,"['Prednisolone: 30 mg orally once daily for 4 weeks, followed by tapering', 'N-acetylcysteine: 600 mg orally twice daily', 'Vitamin B Complex: One tablet orally once daily', 'Thiamine (Vitamin B1): 50 mg orally once daily', 'Folic Acid: 0.5 mg orally once daily']"
Tuberculosis,"['Isoniazid: 5 mg/kg (maximum 250 mg) orally once daily', 'Rifampicin: 10 mg/kg (maximum 450 mg) orally once daily', 'Pyrazinamide: 20 mg/kg (maximum 1,500 mg) orally once daily', 'Ethambutol: 15 mg/kg (maximum 1,200 mg) orally once daily', 'Amikacin: 15 mg/kg (maximum 1,000 mg) intramuscularly once daily']"
Common Cold,"['Paracetamol (Acetaminophen): 500 mg orally every 6-8 hours as needed; maximum 3,000 mg/day', 'Ibuprofen: 200 mg orally every 8 hours as needed; maximum 800 mg/day', 'Phenylephrine: 10 mg orally every 4 hours as needed; maximum 60 mg/day', 'Diphenhydramine: 25 mg orally every 6 hours as needed', 'Guaifenesin: 200 mg orally every 6 hours as needed; maximum 2,000 mg/day']"
Pneumonia,"['Amoxicillin: 500 mg orally every 8 hours for 7 days', 'Azithromycin: 500 mg orally on day 1, then 250 mg once daily on days 2-3', 'Doxycycline: 100 mg orally once daily for 5-7 days', 'Levofloxacin: 500 mg orally once daily for 5 days', 'Ceftriaxone: 1 g intravenously once daily for 7 days']"
Dimorphic hemmorhoids(piles),"['Diosmin: 500 mg orally once daily', 'Lidocaine (Lignocaine) Gel: Apply topically as needed for pain relief up to 3 times daily', 'Hydrocortisone Cream: Apply topically once daily at bedtime', 'Aloe Vera Gel: Apply topically after bowel movements for soothing', 'Psyllium Husk: 2.5 g orally twice daily with water']"
Heart attack,"['Aspirin: 75-100 mg orally once daily', 'Clopidogrel: 75 mg orally once daily', 'Metoprolol: 50 mg orally once daily', 'Atorvastatin: 40 mg orally once daily', 'Nitroglycerin: 0.3-0.6 mg sublingually every 5 minutes as needed; maximum 2 doses in 10 minutes']"
Varicose veins,"['Diosmin: 500 mg orally once daily', 'Horse Chestnut Seed Extract: 300 mg orally once daily', 'Butcher's Broom Extract: 150 mg orally twice daily', 'Pentoxifylline: 400 mg orally twice daily', 'Compression Stockings: Worn daily as recommended for 6-8 hours']"
Hypothyroidism,"['Levothyroxine: 1.0 mcg/kg orally once daily; adjust based on TSH levels', 'Liothyronine: 12.5 mcg orally once daily; adjust as needed', 'Desiccated Thyroid Extract: 15 mg orally once daily; adjust as needed', 'Selenium: 100 mcg orally once daily', 'Vitamin D3: 800-1,000 IU orally once daily']"
Hyperthyroidism,"['Methimazole: 10-20 mg orally once daily', 'Propylthiouracil (PTU): 50-100 mg orally twice daily', 'Propranolol: 20-40 mg orally once daily for symptom control', 'Sodium Iodide: 20 mg orally twice daily', 'Radioactive Iodine (I-131): Dose based on individual assessment and thyroid function']"
Hypoglycemia,"['Glucose Tablets: 10-15 grams orally as needed', 'Dextrose Gel: 10 grams orally as needed', 'Glucagon Injection: 0.5 mg intramuscularly or subcutaneously as needed', 'Octreotide: 25-50 mcg subcutaneously every 8-12 hours as needed', 'Diazoxide: 2-4 mg/kg/day orally in divided doses']"
Osteoarthristis,"['medicine: 'Paracetamol (Acetaminophen): 325-650 mg orally every 4-6 hours as needed; maximum 3,000 mg/day', 'Meloxicam: 7.5 mg orally once daily; may increase to 15 mg/day', 'Celecoxib: 100 mg orally twice daily', 'Capsaicin Cream: Apply topically 2-3 times daily to affected area', 'Chondroitin Sulfate: 800 mg orally once daily']"
Arthritis,"['Azathioprine: 50 mg orally once daily, may increase based on response', 'Methotrexate: 10-15 mg orally once weekly', 'Leflunomide: 20 mg orally once daily', 'Adalimumab: 40 mg subcutaneously every other week', 'Hydroxychloroquine: 400 mg orally once daily for 4-6 weeks, then 200 mg once daily']"
(vertigo) Paroymsal Positional Vertigo,"['Betahistine: 8 mg orally twice daily', 'Dimenhydrinate: 50 mg orally every 4-6 hours as needed', 'Lorazepam: 0.5 mg orally every 8 hours as needed', 'Meclizine: 25 mg orally once daily', 'Vestibular Rehabilitation Therapy: Daily exercises under professional supervision']"
Acne,"['Salicylic Acid: Apply topically once daily', 'Adapalene Gel: Apply topically once daily at night', 'Azelaic Acid: Apply twice daily', 'Minocycline: 50 mg orally once daily', 'Spironolactone: 25-50 mg orally once daily']"
Urinary tract infection,"['Amoxicillin-Clavulanate: 500 mg/125 mg orally every 8 hours for 7 days', 'Cefpodoxime: 100 mg orally twice daily for 7 days', 'Pivmecillinam: 400 mg orally twice daily for 5 days', 'Doxycycline: 100 mg orally twice daily for 7 days (for complicated cases)', 'Methenamine Hippurate: 1 g orally twice daily for prophylaxis']"
Psoriasis,"['Acitretin: 10-50 mg orally once daily', 'Secukinumab: 300 mg subcutaneously at weeks 0, 1, 2, 3, and 4, then 300 mg every 4 weeks', 'Ustekinumab: 45 mg subcutaneously at weeks 0 and 4, then every 12 weeks (90 mg for patients >100 kg)', 'Calcipotriol/Betamethasone: Apply topically once daily', 'Tofacitinib: 5 mg orally twice daily']"
Impetigo,"['Fusidic Acid Cream: Apply topically three times daily for 7 days', 'Hydrogen Peroxide 1% Cream: Apply topically twice daily for 5 days', 'Amoxicillin-Clavulanate: 875 mg/125 mg orally twice daily for 7 days', 'Azithromycin: 500 mg orally on day 1, then 250 mg once daily for 4 days', 'Trimethoprim/Sulfamethoxazole: 160/800 mg orally twice daily for 7 days']"
