Disease,Medication
Hypertension,"['Amlodipine: 5 mg orally once daily; may increase to 10 mg daily', 'Lisinopril: 10 mg orally once daily; may increase to 40 mg daily', 'Losartan: 50 mg orally once daily; may increase to 100 mg daily', 'Hydrochlorothiazide: 25 mg orally once daily; may increase to 50 mg daily', 'Metoprolol: 50 mg orally twice daily; may increase to 100-200 mg daily']"
Migraine,"['Sumatriptan: 25-50 mg orally at onset; may repeat after 4 hours; maximum 300 mg/day', 'Rizatriptan: 5 mg orally at onset; may repeat after 2 hours; maximum 15 mg/day', 'Propranolol: 40 mg orally twice daily; may increase to 160 mg/day', 'Gabapentin: 100 mg orally once daily; may increase to 1,200 mg/day', 'Amitriptyline: 10 mg orally at bedtime; may increase to 75 mg/day']"
Cervical spondylosis,"['Diclofenac: 50 mg orally twice daily; maximum 150 mg/day', 'Celecoxib: 100 mg orally once or twice daily', 'Methocarbamol: 1,000 mg orally once daily; may increase to 4,000 mg/day', 'Pregabalin: 75 mg orally twice daily; may increase to 300 mg/day', 'Methylprednisolone: 16 mg orally once daily for 5 days, then taper as needed']"
Paralysis (brain hemorrhage),"['Enalapril: 5 mg orally once daily, may increase to 20 mg/day (for blood pressure control)', 'Amlodipine: 2.5 mg orally once daily, may increase to 10 mg/day (for blood pressure control)', 'Levetiracetam: 500 mg orally twice daily, may increase to 1,500 mg/day (for seizure prophylaxis)', 'Furosemide: 20-40 mg IV once daily, may increase based on fluid balance (to reduce intracranial pressure)', 'Verapamil: 80 mg orally three times daily (to prevent cerebral vasospasm)']"
Jaundice,"['Rifampicin: 150 mg orally once daily, may increase to 300 mg daily', 'Ursodeoxycholic Acid: 10-15 mg/kg/day orally in divided doses', 'Cholestyramine: 3-4 g orally once daily before meals', 'Vitamin K: 5 mg orally once daily as needed', 'Prednisolone: 20-30 mg orally once daily for short-term use']"
Malaria,"['Artemether-Lumefantrine: 20 mg/120 mg per tablet; 4 tablets orally initially, then at 8, 24, 36, 48, and 60 hours', 'Chloroquine: 600 mg base (1,000 mg salt) orally initially, then 300 mg base (500 mg salt) at 6, 24, and 48 hours', 'Quinine Sulfate: 650 mg orally every 8 hours for 3-7 days', 'Doxycycline: 100 mg orally once daily for 7 days (used in combination with quinine)', 'Primaquine: 30 mg base (52.6 mg salt) orally once daily for 14 days (for P. vivax or P. ovale)']"
Chicken pox,"['Acyclovir: 800 mg orally five times daily for 5-7 days', 'Famciclovir: 500 mg orally twice daily for 5-7 days', 'Valacyclovir: 1,000 mg orally twice daily for 5-7 days', 'Paracetamol (Acetaminophen): 500-1,000 mg orally every 6 hours as needed for fever; maximum 3,000 mg/day', 'Diphenhydramine: 25-50 mg orally every 6-8 hours as needed for itching']"
Dengue,"['Paracetamol (Acetaminophen): 500-1,000 mg orally every 6 hours as needed for fever; maximum 3,000 mg/day', 'Oral Rehydration Salts (ORS): Administer as needed to prevent dehydration', 'Ringer's Lactate Solution: Administer intravenously as needed for fluid replacement', 'Platelet Transfusion: Administer as needed for severe thrombocytopenia', 'Vitamin C: 500 mg orally once daily']"
Typhoid,"['Ciprofloxacin: 500 mg orally twice daily for 7-14 days', 'Azithromycin: 1,000 mg orally once, then 500 mg daily for 6 days', 'Ceftriaxone: 2 g intravenously once daily for 10-14 days', 'Chloramphenicol: 500 mg orally three times daily for 14 days', 'Amoxicillin: 1 g orally twice daily for 14 days']"
hepatitis A,"['Hepatitis A: Supportive Care: Ensure adequate rest and hydration; no specific antiviral treatment', 'Paracetamol (Acetaminophen): 500 mg orally every 6 hours as needed for pain or fever; maximum 4,000 mg/day', 'Ondansetron: 4 mg orally every 8 hours as needed for nausea', 'Vitamin B Complex: One tablet orally daily', 'Silymarin: 140 mg orally three times daily to support liver function']"
Hepatitis B,"['Entecavir: 1 mg orally once daily', 'Tenofovir Alafenamide: 25 mg orally once daily', 'Peginterferon Alfa-2a: 180 mcg subcutaneously once weekly for 24-48 weeks', 'Lamivudine: 150 mg orally once daily', 'Adefovir Dipivoxil: 10 mg orally once daily; monitor kidney function regularly']"
Hepatitis C,"['Ribavirin: 800-1,000 mg orally daily in divided doses for 12-24 weeks (in combination with other antivirals)', 'Daclatasvir: 30 mg orally once daily for 12 weeks (adjusted for hypertension medications)', 'Sofosbuvir-Velpatasvir: 400 mg/100 mg orally once daily for 12-24 weeks', 'Elbasvir-Grazoprevir: 50 mg/100 mg orally once daily for 12 weeks', 'Sofosbuvir-Ledipasvir: 400 mg/90 mg orally once daily for 8-12 weeks']"
Hepatitis D,"['Peginterferon Alfa-2a: 135 mcg subcutaneously once weekly for 48 weeks', 'Peginterferon Alfa-2b: 1 mcg/kg subcutaneously once weekly for 48 weeks', 'Tenofovir Alafenamide: 25 mg orally once daily', 'Entecavir: 1 mg orally once daily', 'Adefovir Dipivoxil: 10 mg orally once daily']"
Hepatitis E,"['Supportive Care: Rest and hydration; no specific antiviral treatment', 'Ribavirin: 200-400 mg orally twice daily for 3 months (for chronic cases)', 'Paracetamol (Acetaminophen): 500 mg orally every 8 hours as needed for pain or fever; maximum 3,000 mg/day', 'Metoclopramide: 5-10 mg orally three times daily as needed for nausea', 'Vitamin C: 500 mg orally twice daily']"
Alcoholic hepatitis,"['Dexamethasone: 8 mg orally once daily for 4 weeks, followed by tapering', 'N-acetylcysteine: 600 mg orally twice daily', 'Vitamin B Complex: One tablet orally daily', 'Thiamine (Vitamin B1): 100 mg orally twice daily', 'Folic Acid: 5 mg orally once daily']"
Tuberculosis,"['Isoniazid: 300 mg orally once daily', 'Rifampicin: 450 mg orally once daily', 'Levofloxacin: 750 mg orally once daily', 'Ethambutol: 800 mg orally once daily', 'Amikacin: 15 mg/kg intravenously once daily (for severe cases)']"
Common Cold,"['Paracetamol (Acetaminophen): 500-1,000 mg orally every 6 hours as needed; maximum 4,000 mg/day', 'Loratadine: 10 mg orally once daily', 'Phenylephrine: 10 mg orally every 4 hours as needed; maximum 60 mg/day', 'Cetirizine: 10 mg orally once daily', 'Guaifenesin: 200-400 mg orally every 4 hours as needed; maximum 2,400 mg/day']"
Pneumonia,"['Amoxicillin: 500 mg orally every 8 hours or 875 mg every 12 hours for 7-10 days', 'Azithromycin: 500 mg orally on day 1, then 250 mg once daily on days 2-5', 'Doxycycline: 100 mg orally twice daily for 7-10 days', 'Levofloxacin: 750 mg orally once daily for 5 days', 'Ceftriaxone: 1-2 g intravenously once daily']"
Dimorphic hemmorhoids(piles),"['Diosmin: 500 mg orally twice daily', 'Lidocaine (Lignocaine) Gel: Apply topically as needed for pain relief', 'Hydrocortisone Cream: Apply topically 2-3 times daily', 'Witch Hazel Pads: Apply topically after bowel movements', 'Psyllium Husk: 3.4 g orally once daily with water']"
Heart attack,"['Aspirin: 160-325 mg orally once, then 75-100 mg once daily', 'Clopidogrel: 300-600 mg orally once, then 75 mg once daily', 'Metoprolol: 25-50 mg orally every 6-12 hours as needed; maximum 200 mg/day', 'Atorvastatin: 80 mg orally once daily', 'Nitroglycerin: 0.3-0.6 mg sublingually every 5 minutes as needed; maximum 3 doses in 15 minutes']"
Varicose veins,"['Diosmin: 500 mg orally twice daily', 'Horse Chestnut Seed Extract: 300 mg orally twice daily', 'Rutosides: 500 mg orally twice daily', 'Pentoxifylline: 400 mg orally twice daily', 'Compression Stockings: Worn daily as recommended']"
Hypothyroidism,"['Levothyroxine: 1.6 mcg/kg orally once daily; adjust based on TSH levels', 'Liothyronine: 25 mcg orally once daily; adjust as needed', 'Desiccated Thyroid Extract: 30 mg orally once daily; adjust as needed', 'Selenium: 200 mcg orally once daily', 'Vitamin D3: 1,000-2,000 IU orally once daily']"
Hyperthyroidism,"['Methimazole: 15-30 mg orally once daily', 'Propylthiouracil (PTU): 100-150 mg orally three times daily', 'Propranolol: 10-40 mg orally every 6 hours as needed', 'Potassium Iodide: 50 mg orally three times daily', 'Radioactive Iodine (I-131): Dose based on individual assessment']"
Hypoglycemia,"['Amlodipine: 5 mg orally once daily; may increase to 10 mg daily', 'Lisinopril: 10 mg orally once daily; may increase to 40 mg daily', 'Losartan: 50 mg orally once daily; may increase to 100 mg daily', 'Hydrochlorothiazide: 25 mg orally once daily; may increase to 50 mg daily', 'Metoprolol: 50 mg orally twice daily; may increase to 100-200 mg daily']"
Osteoarthristis,"['Paracetamol (Acetaminophen): 500-1,000 mg orally every 6 hours as needed; maximum 3,000 mg/day', 'Ibuprofen: 200 mg orally every 6-8 hours as needed; maximum 1,200 mg/day', 'Naproxen: 250 mg orally every 12 hours as needed; maximum 1,000 mg/day', 'Diclofenac: 50 mg orally every 8 hours as needed; maximum 100 mg/day', 'Glucosamine Sulfate: 1,500 mg orally once daily']"
Arthritis,"['Methotrexate: 7.5-25 mg orally once weekly', 'Sulfasalazine: 500 mg orally twice daily; may increase to 1,000 mg twice daily', 'Hydroxychloroquine: 200-400 mg orally once daily', 'Leflunomide: 100 mg orally once daily for 3 days, then 20 mg once daily', 'Etanercept: 50 mg subcutaneously once weekly']"
(vertigo) Paroymsal Positional Vertigo,"['Betahistine: 16 mg orally three times daily', 'Meclizine: 25-50 mg orally every 6 hours as needed', 'Diazepam: 2-5 mg orally every 8 hours as needed', 'Prochlorperazine: 5-10 mg orally every 6-8 hours as needed', 'Epley Maneuver: Performed as needed under guidance']"
Acne,"['Benzoyl Peroxide: Apply topically once daily', 'Clindamycin Topical: Apply twice daily', 'Tretinoin Cream: Apply once daily at bedtime', 'Doxycycline: 100 mg orally twice daily', 'Isotretinoin: 0.5-1 mg/day orally in divided doses']"
Urinary tract infection,"['Nitrofurantoin: 100 mg orally twice daily for 5 days', 'Trimethoprim/Sulfamethoxazole: 160/800 mg (one double-strength tablet) orally once daily for 5 days', 'Fosfomycin: 3 g orally as a single dose', 'Levofloxacin: 500 mg orally once daily for 7 days (alternative to Ciprofloxacin)', 'Cephalexin: 500 mg orally every 12 hours for 7 days.']"
Psoriasis,"['Methotrexate: 7.5-25 mg orally once weekly', 'Cyclosporine: 2.5-5 mg/kg/day orally in divided doses.', 'Apremilast: 30 mg orally twice daily', 'Adalimumab: 80 mg subcutaneously initially, followed by 40 mg every other week', 'Etanercept: 50 mg subcutaneously twice weekly for 12 weeks, then 50 mg once weekly']"
Impetigo,"['Mupirocin Ointment: Apply topically three times daily for 5 days.', 'Retapamulin Ointment: Apply topically twice daily for 5 days.', 'Cephalexin: 500 mg orally every 8 hours for 7 days.', 'Dicloxacillin: 500 mg orally every 6 hours for 5 days', 'Clindamycin: 300 mg orally every 8 hours for 7 days.']"
