Disease,Description
Malaria," A mosquito-borne infectious disease causing fever, chills, and flu-like symptoms. It is caused by the Plasmodium parasite. Treated with antimalarial drugs like chloroquine."
Chicken pox,"A highly contagious viral infection causing itchy, red blisters all over the body. It mainly affects children and provides lifelong immunity. Managed with antihistamines and fever control."
Dengue,"A viral infection spread by mosquitoes, causing high fever, severe body pain, and rash. Severe cases can lead to internal bleeding. Treated with fluids and symptom management."
Typhoid,"A bacterial infection caused by Salmonella typhi, leading to prolonged fever, weakness, and digestive issues. Spread through contaminated food and water. Treated with antibio"
hepatitis A,"A viral liver infection transmitted through contaminated food or water, causing jaundice, fatigue, and nausea. Usually self-limiting and preventable by vaccination."
Hepatitis B,"A serious liver infection spread through blood and bodily fluids, leading to chronic liver damage. It may cause jaundice and fatigue. Managed with antiviral medications and vaccination"
Hepatitis C,A bloodborne viral infection that can cause chronic liver disease and cirrhosis. Often asymptomatic in early stages. Treated with antiviral medications.
Hepatitis D," A rare liver infection that only occurs with Hepatitis B, worsening liver damage. It spreads through blood contact. Managed with antiviral therapy."
Hepatitis E,"A viral liver infection mainly transmitted through contaminated water. Causes jaundice, fatigue, and stomach pain. Usually self-limiting but dangerous in pregnancy."
Alcoholic hepatitis," Liver inflammation caused by excessive alcohol consumption, leading to jaundice, liver damage, and pain. Managed by alcohol abstinence and supportive care."
Tuberculosis,"A bacterial infection that primarily affects the lungs, causing cough, weight loss, and fever. Spread through respiratory droplets. Treated with a long course of antibiotics."
Common Cold," A viral infection affecting the nose and throat, causing sneezing, congestion, and mild fever. Spread through droplets and close contact. Managed with rest and hydration."
Pneumonia," A lung infection causing fever, cough, and difficulty breathing. Can be bacterial, viral, or fungal. Treated with antibiotics or antivirals."
Dimorphic hemmorhoids(piles)," Swollen veins in the rectum or anus causing pain, itching, and bleeding. Aggravated by constipation and prolonged sitting. Managed with dietary changes and medication."
Heart attack," A life-threatening condition caused by blocked blood flow to the heart, leading to chest pain and shortness of breath. Immediate medical intervention is required."
Varicose veins,"Enlarged, twisted veins usually in the legs, causing pain and swelling. Caused by weak vein valves. Managed with compression stockings and lifestyle changes."
Hypothyroidism," A condition where the thyroid gland produces insufficient hormones, leading to fatigue, weight gain, and cold intolerance. Treated with thyroid hormone replacement."
Hyperthyroidism,"A condition where the thyroid gland overproduces hormones, causing weight loss, rapid heartbeat, and anxiety. Managed with medication or surgery."
Hypoglycemia,"Low blood sugar levels causing dizziness, sweating, and confusion. Common in diabetics on insulin therapy. Treated with glucose intake."
Osteoarthristis," A degenerative joint disease causing pain and stiffness, often in knees and hips. Common with aging. Managed with pain relief and physiotherapy."
Arthritis,"Inflammation of the joints, leading to pain, swelling, and stiffness. Can be autoimmune (e.g., rheumatoid arthritis). Treated with anti-inflammatory drugs."
(vertigo) Paroymsal Positional Vertigo, A disorder causing sudden dizziness due to inner ear disturbances. Triggered by head movements. Treated with balance exercises and medications.
Acne,"A common skin condition with pimples, blackheads, and inflammation due to clogged pores. Often linked to hormones. Managed with skincare and medications."
Urinary tract infection,A bacterial infection in the urinary system causing burning urination and pelvic pain. Common in women. Treated with antibiotics.
Psoriasis," A chronic autoimmune skin disease causing red, scaly patches. Triggered by stress and infections. Managed with topical treatments and immune-modulating drugs."
Impetigo,"A bacterial skin infection causing red sores and yellow crusts, mainly in children. Highly contagious. Treated with antibiotics."
